date,rain,temp,rhum,wdsp,wddir,msl
08-dec-2020 00:00,0.0,-0.5,98,5,220,1004.1
08-dec-2020 01:00,0.0,-0.6,97,4,210,1004.1
08-dec-2020 02:00,0.0,-0.6,97,3,220,1003.9
08-dec-2020 03:00,0.0,-1.0,97,3,190,1003.9
08-dec-2020 04:00,0.0,-1.5,96,1,140,1004.2
08-dec-2020 05:00,0.0,0.3,97,3,260,1004.2
08-dec-2020 06:00,0.0,0.8,97,5,260,1004.6
08-dec-2020 07:00,0.0,1.7,96,5,260,1004.9
08-dec-2020 08:00,0.0,2.5,95,6,280,1005.7
08-dec-2020 09:00,0.0,2.8,95,6,290,1006.1
08-dec-2020 10:00,0.0,3.7,94,6,280,1006.8
08-dec-2020 11:00,0.0,5.5,82,8,290,1007.3
08-dec-2020 12:00,0.0,7.1,76,9,300,1007.7
08-dec-2020 13:00,0.0,8.2,71,9,310,1008.1
08-dec-2020 14:00,0.0,7.8,72,10,300,1008.3
08-dec-2020 15:00,0.0,7.1,73,10,300,1008.6
08-dec-2020 16:00,0.0,5.9,74,8,290,1009.3
08-dec-2020 17:00,0.0,4.4,80,8,290,1009.9
08-dec-2020 18:00,0.0,4.2,80,5,240,1010.3
08-dec-2020 19:00,0.0,4.9,74,6,250,1010.3
08-dec-2020 20:00,0.0,3.7,77,5,270,1010.4
08-dec-2020 21:00,0.0,4.1,78,5,280,1010.5
08-dec-2020 22:00,0.0,3.5,81,4,260,1010.6
08-dec-2020 23:00,0.0,2.8,86,3,230,1010.5
