date,rain,temp,rhum,wdsp,wddir,msl
08-dec-2022 00:00,0.0,0.0,96,5,320,1020.5
08-dec-2022 01:00,0.0,0.7,97,4,320,1019.6
08-dec-2022 02:00,0.0,0.5,97,3,320,1019.0
08-dec-2022 03:00,0.0,1.0,97,1,150,1018.4
08-dec-2022 04:00,0.0,1.5,97,1,240,1017.5
08-dec-2022 05:00,0.0,1.7,97,1,250,1016.9
08-dec-2022 06:00,0.0,0.7,97,2,200,1016.1
08-dec-2022 07:00,0.0,0.4,99,2,50,1015.7
08-dec-2022 08:00,0.0,1.5,98,2,170,1015.6
08-dec-2022 09:00,0.0,2.0,98,2,10,1015.8
08-dec-2022 10:00,0.0,2.5,98,4,20,1015.6
08-dec-2022 11:00,0.0,1.9,97,4,30,1015.7
08-dec-2022 12:00,0.0,3.0,93,3,70,1015.2
08-dec-2022 13:00,0.0,3.5,90,4,30,1014.8
08-dec-2022 14:00,0.0,3.9,92,4,330,1014.5
08-dec-2022 15:00,0.0,3.4,82,5,10,1014.2
08-dec-2022 16:00,0.0,1.7,84,4,360,1013.9
08-dec-2022 17:00,0.0,0.1,94,4,340,1014.0
08-dec-2022 18:00,0.0,-0.9,94,4,340,1014.1
08-dec-2022 19:00,0.0,-1.1,96,5,340,1014.1
08-dec-2022 20:00,0.0,-1.9,96,5,350,1014.0
08-dec-2022 21:00,0.0,-2.9,96,4,360,1014.3
08-dec-2022 22:00,0.0,-2.4,96,4,350,1014.3
08-dec-2022 23:00,0.0,-3.1,95,4,360,1014.2
